"ville_ID","ville_nom","ville_insee","ville_zip","ville_lambertX","ville_lambertY","departement_ID","region_ID","zone_ID","pays_ID","ville_longitude","ville_latitude","canton_ID","arrondissement_ID","admin_ID","territoire_sante","secteur_apa_ID","secteur_Smur_ID","secteur_Adps_ID","secteur_Vsav_ID","zone_proximite"
"378","INGENHEIM","67220",,"981","24277","67","42","1","1","7.520824","48.733951","10","6","0","1","5","4","18","0","9"
"379","INGOLSHEIM","67221",,"1010","24562","67","42","1","1","7.936955","48.973942","26","7","0","1","3","6","16","0","12"
"380","INNENHEIM","67223",,"986","24014","67","42","1","1","7.572978","48.495744","16","5","0","2","7","3","47","0","5"
"381","ISSENHAUSEN","67225",,"981","24355","67","42","1","1","7.536942","48.805916","10","6","0","1","2","4","5","0","9"
"382","ITTENHEIM","67226",,"987","24136","67","42","1","1","7.595420","48.604525","43","6","0","2","6","3","73","0","10"
"383","ITTERSWILLER","67227",,"977","23861","67","42","1","1","7.431195","48.363884","1","5","0","3","9","5","1","0","7"
"384","NEUGARTHEIM-ITTLENHEIM","67228",,"983","24188","67","42","1","1","7.537324","48.663173","31","6","0","2","5","3","9","0","10"
"385","JETTERSWILLER","67229",,"974","24200","67","42","1","1","7.414814","48.669852","13","4","0","1","5","4","7","0","9"
"386","KALTENHOUSE","67230",,"1003","24355","67","42","1","1","7.834645","48.791581","9","2","0","1","4","2","4","0","4"
"387","KAUFFENHEIM","67231",,"1017","24434","67","42","1","1","8.027024","48.853699","3","2","0","1","4","2","28","0","4"
"388","KEFFENACH","67232",,"1006","24551","67","42","1","1","7.880816","48.964805","26","7","0","1","3","6","16","0","12"
"389","KERTZFELD","67233",,"987","23886","67","42","1","1","7.569245","48.380195","2","5","0","3","8","5","2","0","7"
"390","KESKASTEL","67234",,"944","24516","67","42","1","1","7.043679","48.970562","20","4","0","1","1","4","30","0","9"
"391","KESSELDORF","67235",,"1020","24462","67","42","1","1","8.068680","48.875332","25","7","0","1","3","2","34","0","4"
"392","KIENHEIM","67236",,"985","24228","67","42","1","1","7.578671","48.689061","31","6","0","2","5","3","73","0","10"
"393","KILSTETT","67237",,"1006","24228","67","42","1","1","7.856656","48.674680","5","6","0","1","6","3","73","0","4"
"394","KINDWILLER","67238",,"986","24422","67","42","1","1","7.596150","48.862435","15","2","0","1","2","2","73","0","4"
"395","KINTZHEIM","67239",,"975","23739","67","42","1","1","7.395253","48.254659","24","5","0","3","9","5","33","0","7"
"396","KIRCHHEIM","67240",,"980","24136","67","42","1","1","7.496860","48.609911","33","3","0","2","7","3","38","0","5"
"397","KIRRBERG","67241",,"947","24353","67","42","1","1","7.064386","48.822378","6","4","0","1","1","1","51","0","9"
"398","KIRRWILLER-BOSSELSHAUSEN","67242",,"981","24367","67","42","1","1","7.529250","48.815446","4","4","0","1","2","4","5","0","9"
"399","KLEINGOEFT","67244",,"975","24224","67","42","1","1","7.443177","48.691430","13","4","0","1","5","4","7","0","9"
"400","KNOERSHEIM","67245",,"977","24214","67","42","1","1","7.461216","48.680500","13","4","0","1","5","4","7","0","9"
"401","KOGENHEIM","67246",,"985","23836","67","42","1","1","7.544513","48.336919","2","5","0","3","9","5","2","0","7"
"402","KOLBSHEIM","67247",,"987","24086","67","42","1","1","7.588697","48.561125","8","6","0","2","6","3","11","0","10"
"403","KRAUTERGERSHEIM","67248",,"986","23992","67","42","1","1","7.566082","48.476168","16","5","0","2","8","3","47","0","7"
"404","KRAUTWILLER","67249",,"993","24289","67","42","1","1","7.685618","48.737259","5","6","0","1","4","2","6","0","4"
"405","KRIEGSHEIM","67250",,"996","24312","67","42","1","1","7.728209","48.757759","5","6","0","1","4","2","6","0","4"
"406","KURTZENHOUSE","67252",,"1002","24297","67","42","1","1","7.803133","48.740521","5","6","0","1","4","2","19","0","4"
"407","KUTTOLSHEIM","67253",,"982","24175","67","42","1","1","7.525033","48.643649","31","6","0","2","5","3","38","0","10"
"408","KUTZENHAUSEN","67254",,"1004","24515","67","42","1","1","7.857022","48.934337","26","7","0","1","3","6","23","0","12"
"409","LALAYE","67255",,"965","23815","67","42","1","1","7.264520","48.330043","32","5","0","3","9","5","37","0","7"
"410","LAMPERTHEIM","67256",,"995","24192","67","42","1","1","7.700402","48.650456","43","6","0","2","6","3","67","0","10"
"411","LAMPERTSLOCH","67257",,"1001","24538","67","42","1","1","7.817727","48.956520","35","7","0","1","3","6","23","0","12"
"412","LANDERSHEIM","67258",,"979","24226","67","42","1","1","7.493303","48.689399","13","4","0","1","5","4","7","0","9"
"413","LANGENSOULTZBACH","67259",,"995","24547","67","42","1","1","7.733733","48.968116","35","7","0","1","3","2","23","0","12"
"414","LAUBACH","67260",,"994","24451","67","42","1","1","7.720690","48.881193","35","7","0","1","4","2","25","0","4"
"415","LAUTERBOURG","67261",,"1027","24576","67","42","1","1","8.177230","48.974619","11","7","0","1","3","6","34","0","12"
"416","LEMBACH","67263",,"998","24589","67","42","1","1","7.789712","49.005842","34","7","0","1","3","6","23","0","12"
"417","LEUTENHEIM","67264",,"1017","24422","67","42","1","1","8.019455","48.842724","3","2","0","1","4","2","28","0","4"
