"Département - commune","Libellé de la commune","Région","Département","Code géographique du bassin de vie 2012","Libellé du bassin de vie 2012",,
"COM","LIB_COM","REG","DEP","BV","LIBBV",,
"01260","Le Montellier","82","01","01244","Meximieux",,
"01261","Monthieux","82","01","01333","Saint-André-de-Corcy",,
"01262","Montluel","82","01","69123","Lyon",,
"01263","Montmerle-sur-Saône","82","01","69019","Belleville",,
"01264","Montracol","82","01","01053","Bourg-en-Bresse",,
"01265","Montréal-la-Cluse","82","01","01269","Nantua",,
"01266","Montrevel-en-Bresse","82","01","01266","Montrevel-en-Bresse",,
"01267","Nurieux-Volognat","82","01","01269","Nantua",,
"01268","Murs-et-Gélignieux","82","01","38012","Aoste",,
"01269","Nantua","82","01","01269","Nantua",,
"01271","Nattages","82","01","73330","Yenne",,
"01272","Neuville-les-Dames","82","01","01093","Châtillon-sur-Chalaronne",,
"01273","Neuville-sur-Ain","82","01","01004","Ambérieu-en-Bugey",,
"01274","Les Neyrolles","82","01","01269","Nantua",,
"01275","Neyron","82","01","69123","Lyon",,
"01276","Niévroz","82","01","69123","Lyon",,
"01277","Nivollet-Montgriffon","82","01","01004","Ambérieu-en-Bugey",,
"01279","Oncieu","82","01","01004","Ambérieu-en-Bugey",,
"01280","Ordonnaz","82","01","01034","Belley",,
"01281","Ornex","82","01","74012","Annemasse",,
"01282","Outriaz","82","01","01185","Hauteville-Lompnes",,
"01283","Oyonnax","82","01","01283","Oyonnax",,
"01284","Ozan","82","01","01305","Pont-de-Vaux",,
"01285","Parcieux","82","01","69123","Lyon",,
"01286","Parves","82","01","73330","Yenne",,
"01288","Péron","82","01","74012","Annemasse",,
"01289","Péronnas","82","01","01053","Bourg-en-Bresse",,
"01290","Pérouges","82","01","01244","Meximieux",,
"01291","Perrex","82","01","01457","Vonnas",,
"01292","Le Petit-Abergement","82","01","01185","Hauteville-Lompnes",,
"01293","Peyriat","82","01","01269","Nantua",,
"01294","Peyrieu","82","01","01034","Belley",,
"01295","Peyzieux-sur-Saône","82","01","01348","Saint-Didier-sur-Chalaronne - Thoissey",,
"01296","Pirajoux","82","01","39475","Saint-Amour",,
"01297","Pizay","82","01","69123","Lyon",,
"01298","Plagne","82","01","01033","Bellegarde-sur-Valserine",,
